Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Other,Other,65388,62181,59402,53654,54680,53571,53761,53221,50714,45480,48067,50101,52247,48197,44847,41119
Encore Capital Group,Debt Buyer,7,21,11,36,176,700,982,901,3691,5318,13143,14147,28204,21049,36870,40926
Capital One,Major Bank,3,6,2,52,1287,7732,18217,24090,15341,15129,19733,31198,38481,41299,37936,26314
New Century Financial Services,Debt Buyer,77,331,5613,3090,8616,29323,17288,51698,22700,25259,18798,18761,33816,35061,20502,22327
Sherman Financial Group LLC,Debt Buyer,6,57,75,28,13,37,103,1583,1970,2284,4269,10807,10072,6214,11692,10644
Portfolio Recovery Associates,Debt Buyer,0,104,66,112,191,335,1028,956,1237,1419,1854,1832,3586,3535,11185,8418
Discover,Major Bank,1147,1995,2284,2274,1381,2244,2932,5383,4138,3994,2716,3710,4257,7213,8145,6189
FIA Card / Bank of America,Major Bank,740,109,14,67,73,70,193,521,699,1033,1288,1537,1239,4680,7988,5500
Asset Acceptance,Debt Buyer,1,1,14,109,74,236,482,2786,3373,5637,5436,8651,5932,11029,6814,5454
Equable Ascent Financial / Hilco Receivables,Debt Buyer,0,0,0,0,0,1,4,7,1,33,48,124,95,572,1544,3464
Fein Such debt buyer,Debt Buyer,82,1130,240,1496,1179,1843,1162,2134,4685,2856,3145,3100,9820,7037,11596,3429
RAB Performance Recoveries,Debt Buyer,0,0,0,0,709,1254,2096,3109,2171,1246,558,2501,2168,2687,1230,2933
Citi,Major Bank,1197,1010,1054,1816,2021,1596,2054,1800,1915,1128,905,1373,2977,6520,6973,2715
American Express,Major Bank,504,526,312,339,587,492,324,454,278,290,503,969,1105,2303,2327,2120
Cypress Financial Recoveries,Debt Buyer,0,0,0,0,0,0,0,0,0,0,41,301,794,574,729,2093
JPMorgan Chase,Major Bank,175,570,1417,1282,759,935,1295,1452,1108,1167,2473,3903,3373,6229,9189,2068
SquareTwo Financial,Debt Buyer,0,0,0,0,9,32,63,144,471,1154,1830,1824,1327,3274,2130,1971
TRAF Group,Collection Agency,1194,1744,2271,1289,1694,1117,1593,1532,1206,927,1018,1053,1251,1493,1473,1722
Cavalry,Debt Buyer,0,0,0,28,82,149,404,683,1230,1071,1678,1035,951,985,2409,1603
Target,Misc Lender,0,0,0,0,0,0,0,0,161,299,501,695,1281,2144,1968,1417
GE,Major Bank,1458,491,1009,475,342,133,189,130,63,1570,1013,1493,1937,1697,1826,1400
Hackensack University Medical Center,Medical,728,775,1105,1196,869,1327,891,1408,2234,1785,1955,2207,1298,1299,1461,1350
Valley Hospital,Medical,628,611,470,520,523,573,532,428,428,477,383,647,833,1194,1165,1328
MSW Capital,Debt Buyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,1158
Ford,Auto,1234,1269,1039,1549,1698,1172,1423,1924,2173,1622,1037,1416,1608,1833,1675,1154
Virtua Health System,Medical,1011,1004,503,406,130,360,441,371,522,339,905,1302,591,995,1013,1138
Hackensack Anesthesiology,Medical,281,513,385,260,306,394,45,41,464,496,302,692,651,497,1103,1135
Arrow Financial Services,Debt Buyer,9,12,27,194,266,258,1094,822,733,781,1637,4747,4169,7802,3732,946
Toyota,Auto,2,4,6,8,5,3,10,16,6,236,26,3,4,47,765,899
Atlantic Health System,Medical,1215,1681,1380,1144,1691,1607,1341,865,863,676,658,697,687,773,1096,898
ABC BAIL BONDS INC,Misc,0,0,3,2,58,287,431,445,268,171,351,364,313,342,393,841
Main Street Acquisition,Debt Buyer,0,0,0,0,0,0,0,0,0,0,2,26,28,80,360,840
Security Credit Services,Debt Buyer,0,0,0,0,0,0,0,0,0,0,1,3,69,90,558,746
Advantage Assets,Debt Buyer,0,0,0,0,0,0,0,1,0,7,11,3,0,1093,2165,730
Credit Acceptance,Auto,301,257,147,69,82,55,31,99,121,146,237,272,222,239,514,726
Independence Receivables,Debt Buyer,0,0,0,0,0,0,0,0,0,0,0,14,333,68,51,706
C & R of Northfield,Collection Agency,404,489,530,572,346,223,342,474,462,381,350,504,492,537,641,705
Razor Capital,Debt Buyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,674
Fast Break Bail Bonds,Misc,0,0,0,0,0,0,0,0,0,0,0,232,943,740,180,626
Slomin's,Misc,30,215,724,849,881,1175,1083,1091,981,760,765,776,731,1253,773,596
Robert Wood Johnson Health System,Medical,408,376,340,236,216,197,332,224,391,395,626,712,662,370,209,577
